"900.grid.export.type.xml", "XML"
"900.grid.export.type.csv", "CSV"
"900.acl.title.channel", "Channel"
"900.acl.title.m-channel", "Maintainers"
"900.acl.title.m-allmaintainers", "Maintainerliste"
"900.acl.title.m-info", "Informationen"
"900.acl.title.c-channel", "Kategorien"
"900.acl.title.c-categories", "Kategorieliste"
"900.acl.title.c-info", "Informationen"
"900.acl.title.c-packages", "Paketliste"
"900.acl.title.c-packagesinfo", "Erweiterte Paketliste"
"900.acl.title.p-channel", "Pakete"
"900.acl.title.p-packages", "Paketliste"
"900.acl.title.p-info", "Informationen"
"900.acl.title.p-maintainers", "Paket-Maintainers"
"900.acl.title.r-channel", "Releases"
"900.acl.title.r-allreleases", "Releaseliste"
"900.acl.title.r-alpha", "Versionsnummer Alphaversion"
"900.acl.title.r-beta", "Versionsnummer Betaversion"
"900.acl.title.r-devel", "Versionsnummer Entwicklungsversion"
"900.acl.title.r-deps", "Abhängigkeiten"
"900.acl.title.r-latest", "Höchste Versionsnummer"
"900.acl.title.r-package", "Paketbeschreibung"
"900.acl.title.r-stable", "Höchste Versionsnummer mit Stabilität 'stable'"
"900.acl.title.r-version", "Detaillierte Versionsinformationen"
"200.error.invalid-credentials", "Sie haben fehlerhafte Benutzerdaten eingegeben"
"200.error.no-credentials", "Bitte geben Sie Ihre Benutzerdaten ein"
"200.error.acl.no-resource-path", "Sie haben eine leere Resource angefragt"
"200.error.acl.invalid-resource-path", "Die angeforderte Resource ist nicht verfügbar"
"200.error.acl.access-denied", "Sie haben nicht die erforderlichen Rechte auf die angeforderte Resource zuzugreifen"
"200.error.resource-not-callable", "Die angeforderte Resource kann nicht geladen werden"
"200.error.resource-method-not-callable", "Die angeforderte Resource kann nicht geladen werden"
"300.error.no-url-resource-mapping", "Die angeforderte Resource konnte nicht gefunden werden"
