"900.grid.export.type.xml", "XML"
"900.grid.export.type.csv", "CSV"
"900.acl.title.channel", "Channel"
"900.acl.title.m-channel", "Maintainers"
"900.acl.title.m-allmaintainers", "Maintainerlist"
"900.acl.title.m-info", "Informations"
"900.acl.title.c-channel", "Categories"
"900.acl.title.c-categories", "Categorylist"
"900.acl.title.c-info", "Informations"
"900.acl.title.c-packages", "Packagelist"
"900.acl.title.c-packagesinfo", "Extended Packagelist"
"900.acl.title.p-channel", "Packages"
"900.acl.title.p-packages", "Packagelist"
"900.acl.title.p-info", "Informations"
"900.acl.title.p-maintainers", "Package-Maintainers"
"900.acl.title.r-channel", "Releases"
"900.acl.title.r-allreleases", "Releaselist"
"900.acl.title.r-alpha", "Alpha Version"
"900.acl.title.r-beta", "Beta Version"
"900.acl.title.r-devel", "Development Version"
"900.acl.title.r-deps", "Dependencies"
"900.acl.title.r-latest", "Latest Version"
"900.acl.title.r-package", "Paketbeschreibung"
"900.acl.title.r-stable", "Latest 'stable' version number"
"900.acl.title.r-version", "Detailed version informations"
"200.error.invalid-credentials", "You've entered invalid user credentials"
"200.error.no-credentials", "Please enter your user credentials"
"200.error.acl.no-resource-path", "You've requested an empty resource"
"200.error.acl.invalid-resource-path", "The requested resource is not available"
"200.error.acl.access-denied", "You've not the permissions to access the requested resource"
"200.error.acl.invalid-serializer-method", "The method to load the requested resource can't be found"
"200.error.resource-not-callable", "The requested resource can not be loaded"
"200.error.resource-method-not-callable", "The requested resource can not be loaded"
"300.error.no-url-resource-mapping", "The requested URL was not found on this server"
